# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
72.13526 44.88539 17.78785 0.00705 16.95178 0.01177 17.46040 0.01337 -1.00000 0.00000 160.45418 -0.02181 1.25900 0.78340 160.45419 -0.02181 -1.00000 15.65266 0.00488 15.26715 0.00504 15.07639 0.01172 0.07072
72.13161 44.88727 19.18043 0.01818 18.35162 0.03193 18.84485 0.03545 -1.00000 0.00000 160.45107 -0.02258 1.25893 0.78343 160.45108 -0.02258 -1.00000 17.15594 0.01597 16.60457 0.01595 16.49304 0.04095 0.06902
72.13132 44.89275 19.92872 0.03275 18.98577 0.05331 19.45806 0.05792 -1.00000 0.00000 160.44675 -0.01921 1.25893 0.78353 160.44673 -0.01921 -1.00000 17.53455 0.02207 16.85383 0.01991 16.66942 0.04799 0.02831
72.13148 44.91656 18.40430 0.01046 17.56011 0.01771 17.99465 0.01902 -1.00000 0.00000 160.42860 -0.00379 1.25893 0.78394 160.42859 -0.00380 -1.00000 16.30599 0.00793 15.71007 0.00729 15.54972 0.01754 0.04894
72.12809 44.86485 19.20529 0.01852 18.32724 0.03132 18.77839 0.03368 -1.00000 0.00000 160.46662 -0.03893 1.25887 0.78304 160.46664 -0.03893 1.00000 nan nan nan nan nan nan nan
72.12702 44.86174 17.98246 0.00795 17.19941 0.01384 17.65880 0.01519 -1.00000 0.00000 160.46851 -0.04151 1.25885 0.78298 160.46854 -0.04150 -1.00000 16.04614 0.00655 15.58803 0.00662 15.47088 0.01656 0.13963
72.12748 44.89890 16.45916 0.00335 15.74661 0.00581 16.08542 0.00607 -1.00000 0.00000 160.44029 -0.01733 1.25886 0.78363 160.44030 -0.01733 -1.00000 14.73248 0.00262 14.18007 0.00216 14.04787 0.00500 0.08619
72.12720 44.91544 18.79304 0.01369 18.01543 0.02467 18.40922 0.02553 -1.00000 0.00000 160.42751 -0.00683 1.25886 0.78392 160.42749 -0.00684 -1.00000 16.88538 0.01267 16.38029 0.01305 16.23588 0.03225 0.03947
72.12333 44.86525 18.80186 0.01377 17.90647 0.02275 18.39896 0.02534 -1.00000 0.00000 160.46414 -0.04125 1.25879 0.78305 160.46416 -0.04126 -1.00000 16.59547 0.01008 16.03320 0.00968 15.82335 0.02255 0.11799
72.12251 44.89547 18.92287 0.01503 18.13049 0.02691 18.55412 0.02842 -1.00000 0.00000 160.44064 -0.02223 1.25878 0.78357 160.44064 -0.02223 -1.00000 16.94414 0.01335 16.42207 0.01356 16.27202 0.03346 0.02144
72.12238 44.87398 16.38117 0.00322 15.70406 0.00567 16.09609 0.00610 -1.00000 0.00000 160.45702 -0.03614 1.25877 0.78320 160.45704 -0.03614 -1.00000 14.71848 0.00261 14.37676 0.00250 14.24799 0.00587 0.09749
72.12207 44.88654 18.76099 0.01338 17.95263 0.02354 18.40166 0.02539 -1.00000 0.00000 160.44727 -0.02822 1.25877 0.78342 160.44729 -0.02822 1.00000 nan nan nan nan nan nan nan
72.12217 44.89884 17.36951 0.00550 16.40147 0.00840 16.94573 0.00977 -1.00000 0.00000 160.43792 -0.02025 1.25877 0.78363 160.43792 -0.02025 -1.00000 14.88229 0.00289 14.16574 0.00214 13.97003 0.00470 0.03969
72.12220 44.91972 19.72864 0.02785 18.83730 0.04715 19.36033 0.05345 -1.00000 0.00000 160.42196 -0.00678 1.25877 0.78400 160.42195 -0.00680 1.00000 nan nan nan nan nan nan nan
72.11826 44.85781 18.18331 0.00904 17.31944 0.01500 17.82333 0.01693 -1.00000 0.00000 160.46751 -0.04879 1.25870 0.78292 160.46755 -0.04879 -1.00000 15.99195 0.00630 15.48416 0.00606 15.31726 0.01447 0.17291
72.11692 44.85936 19.73677 0.02804 18.82265 0.04659 19.34502 0.05279 -1.00000 0.00000 160.46572 -0.04852 1.25868 0.78294 160.46573 -0.04852 -3.00000 nan nan nan nan nan nan nan
72.11876 44.88144 14.16187 0.00110 13.61282 0.00200 13.91516 0.00209 -1.00000 0.00000 160.44967 -0.03330 1.25871 0.78333 160.44968 -0.03330 -1.00000 12.84600 0.00093 12.55434 0.00076 12.46412 0.00163 0.08005
72.11579 44.86303 18.86684 0.01443 18.02208 0.02479 18.54174 0.02816 -1.00000 0.00000 160.46239 -0.04677 1.25866 0.78301 160.46241 -0.04676 -1.00000 16.86358 0.01256 16.33064 0.01255 16.18756 0.03116 0.12456
72.11640 44.88429 15.61260 0.00219 15.00647 0.00395 15.35011 0.00417 -1.00000 0.00000 160.44641 -0.03274 1.25867 0.78338 160.44642 -0.03274 -1.00000 14.18238 0.00189 13.83892 0.00170 13.70361 0.00383 0.06799
72.11632 44.92226 18.47706 0.01098 17.51006 0.01710 18.00123 0.01911 -1.00000 0.00000 160.41733 -0.00833 1.25867 0.78404 160.41733 -0.00834 -1.00000 16.18384 0.00722 15.45307 0.00587 15.26566 0.01365 0.02480
72.11429 44.87027 18.43050 0.01064 17.24909 0.01430 17.83327 0.01705 -1.00000 0.00000 160.45617 -0.04291 1.25863 0.78313 160.45620 -0.04291 -1.00000 15.60517 0.00473 14.85268 0.00361 14.61015 0.00789 0.12592
72.11396 44.90022 19.76572 0.02870 18.83849 0.04720 19.31803 0.05164 -1.00000 0.00000 160.43311 -0.02381 1.25863 0.78366 160.43311 -0.02382 -1.00000 17.52102 0.02179 16.99626 0.02258 16.89670 0.05864 0.03130
72.11115 44.86532 19.65851 0.02633 18.81192 0.04618 19.33619 0.05241 -1.00000 0.00000 160.45852 -0.04781 1.25858 0.78305 160.45854 -0.04782 -1.00000 17.48381 0.02123 17.08176 0.02448 16.86817 0.05749 0.10533
72.10934 44.85732 19.92943 0.03277 18.77892 0.04495 19.36575 0.05369 -1.00000 0.00000 160.46381 -0.05394 1.25855 0.78291 160.46384 -0.05394 -1.00000 16.96944 0.01374 16.12434 0.01049 15.87651 0.02361 0.12749
72.10942 44.89202 19.96662 0.03379 18.50196 0.03595 19.20660 0.04718 -1.00000 0.00000 160.43731 -0.03155 1.25855 0.78351 160.43733 -0.03154 -1.00000 16.69671 0.01090 16.04730 0.00976 15.76235 0.02119 0.09350
72.10762 44.88300 19.19568 0.01839 18.30891 0.03088 18.88565 0.03659 -1.00000 0.00000 160.44339 -0.03833 1.25852 0.78336 160.44339 -0.03833 -1.00000 17.10199 0.01528 16.68429 0.01710 16.48032 0.04029 0.04185
72.10642 44.88103 17.94366 0.00776 17.09740 0.01294 17.58090 0.01444 -1.00000 0.00000 160.44435 -0.04026 1.25849 0.78332 160.44435 -0.04025 -1.00000 15.83392 0.00557 15.25194 0.00498 15.06084 0.01150 0.04587
72.10500 44.87187 19.58541 0.02485 18.69012 0.04181 19.21704 0.04758 -1.00000 0.00000 160.45071 -0.04692 1.25847 0.78316 160.45072 -0.04692 -1.00000 17.47927 0.02112 16.93257 0.02137 16.72987 0.05055 0.08309
