# ra_1	dec_1	r	rErr	i	iErr	ha	haErr	mergedClass_1	errBits	l	b	RA_2	DEC_2	L	B	MERGEDCLASS_2	J	JERR	H	HERR	K	KERR	Separation
#71.71345 45.19067 15.15112 0.00178 14.53683 0.00308 14.86707 0.00330 -1.00000 0.00000 160.02859 -0.05216 1.25164 0.78873 160.02862 -0.05213 -1.00000 13.73026 0.00137 13.42028 0.00124 13.31220 0.00254 0.16115
71.75868 45.21944 18.80089 0.02196 17.79203 0.02515 18.43956 0.03708 -1.00000 0.00000 160.02732 -0.00925 1.25243 0.78923 160.02732 -0.00926 -1.00000 16.44314 0.00769 15.87714 0.00780 15.67975 0.01669 0.07649
71.75664 45.21190 18.91347 0.02417 18.04067 0.03073 18.60587 0.04267 -1.00000 0.00000 160.03213 -0.01522 1.25239 0.78910 160.03216 -0.01525 -1.00000 16.72028 0.00957 16.22377 0.01052 16.05288 0.02319 0.15147
71.75337 45.20944 19.82230 0.05349 18.12887 0.03304 18.96734 0.05820 -1.00000 0.00000 160.03251 -0.01857 1.25233 0.78905 160.03256 -0.01860 -1.00000 16.22321 0.00652 15.54632 0.00591 15.21508 0.01118 0.22179
71.75244 45.21126 18.17176 0.01304 17.33965 0.01770 17.82909 0.02249 -1.00000 0.00000 160.03070 -0.01789 1.25232 0.78908 160.03073 -0.01791 -1.00000 16.06561 0.00579 15.66740 0.00654 15.50460 0.01433 0.13587
71.75054 45.22477 18.06179 0.01194 17.22821 0.01628 17.72877 0.02078 -1.00000 0.00000 160.01955 -0.01017 1.25228 0.78932 160.01955 -0.01018 -1.00000 15.85596 0.00497 15.35255 0.00504 15.13582 0.01044 0.04294
71.74695 45.23481 19.64953 0.04589 18.54768 0.04690 19.21116 0.07200 -1.00000 0.00000 160.01026 -0.00559 1.25222 0.78950 160.01026 -0.00561 -1.00000 17.07727 0.01277 16.45876 0.01292 16.19326 0.02626 0.07813
71.74240 45.21318 19.58672 0.04341 18.51666 0.04568 19.15141 0.06833 -1.00000 0.00000 160.02466 -0.02204 1.25214 0.78912 160.02467 -0.02206 -1.00000 17.15591 0.01366 16.65225 0.01535 16.36755 0.03069 0.10873
71.74219 45.20921 16.46498 0.00378 15.68082 0.00582 16.08678 0.00653 -1.00000 0.00000 160.02759 -0.02472 1.25214 0.78905 160.02763 -0.02474 -1.00000 14.48337 0.00206 13.96248 0.00176 13.79953 0.00359 0.18815
71.74104 45.21219 18.63731 0.01913 17.71377 0.02364 18.21094 0.03065 -1.00000 0.00000 160.02479 -0.02341 1.25212 0.78910 160.02482 -0.02342 -1.00000 16.39926 0.00745 15.86442 0.00774 15.66379 0.01647 0.12519
71.73725 45.23500 19.38398 0.03632 18.20248 0.03511 18.94080 0.05688 -1.00000 0.00000 160.00568 -0.01066 1.25205 0.78950 160.00569 -0.01068 -1.00000 16.49614 0.00802 15.79689 0.00731 15.52562 0.01459 0.05557
71.73588 45.22864 18.50343 0.01710 17.51383 0.02022 17.97349 0.02525 -1.00000 0.00000 160.00991 -0.01552 1.25203 0.78939 160.00991 -0.01553 -1.00000 16.10265 0.00596 15.38565 0.00519 15.15502 0.01062 0.04515
71.73494 45.22174 19.28342 0.03327 18.41835 0.04204 19.07113 0.06370 -1.00000 0.00000 160.01474 -0.02049 1.25201 0.78927 160.01473 -0.02050 -1.00000 17.00258 0.01204 16.50053 0.01344 16.28204 0.02843 0.03677
